#contig_id	CELEG	ECOLI	HSAPI	PAERU	taxonomy	fraction_reads
Unmapped	16702	2	2088	0	N/A	N/A
CELEG.contig_1	9842	0	0	0	CELEG	1.00
CELEG.contig_10	581	0	0	0	CELEG	1.00
CELEG.contig_100	4284	0	0	0	CELEG	1.00
CELEG.contig_1000	1101	0	0	0	CELEG	1.00
CELEG.contig_1001	1392	0	0	0	CELEG	1.00
CELEG.contig_1002	34922	0	0	0	CELEG	1.00
CELEG.contig_1003	6206	0	0	0	CELEG	1.00
CELEG.contig_1004	3237	0	0	0	CELEG	1.00
CELEG.contig_1005	11179	0	0	0	CELEG	1.00
CELEG.contig_1006	428	0	0	0	CELEG	1.00
CELEG.contig_1007	24307	0	0	0	CELEG	1.00
CELEG.contig_1008	17307	0	0	0	CELEG	1.00
CELEG.contig_1009	12119	0	0	0	CELEG	1.00
CELEG.contig_101	42177	0	0	0	CELEG	1.00
CELEG.contig_1010	9159	0	0	0	CELEG	1.00
CELEG.contig_1011	9354	0	0	0	CELEG	1.00
CELEG.contig_1012	262	0	0	0	CELEG	1.00
CELEG.contig_1013	7639	0	0	0	CELEG	1.00
CELEG.contig_1014	32671	0	0	0	CELEG	1.00
CELEG.contig_1015	3377	0	0	0	CELEG	1.00
CELEG.contig_1016	8102	0	0	0	CELEG	1.00
CELEG.contig_1017	1534	0	0	0	CELEG	1.00
CELEG.contig_1018	24096	0	0	0	CELEG	1.00
CELEG.contig_1019	22837	0	0	0	CELEG	1.00
CELEG.contig_102	135905	0	0	0	CELEG	1.00
CELEG.contig_1020	5792	0	0	0	CELEG	1.00
CELEG.contig_1021	5232	0	0	0	CELEG	1.00
CELEG.contig_1022	2013	0	0	0	CELEG	1.00
CELEG.contig_1023	10358	0	0	0	CELEG	1.00
CELEG.contig_1024	4947	0	0	0	CELEG	1.00
CELEG.contig_1025	2138	0	0	0	CELEG	1.00
CELEG.contig_1026	16748	0	0	0	CELEG	1.00
CELEG.contig_1027	32852	0	0	0	CELEG	1.00
CELEG.contig_1028	14348	0	0	0	CELEG	1.00
CELEG.contig_1029	15954	0	0	0	CELEG	1.00
CELEG.contig_103	17875	0	0	0	CELEG	1.00
CELEG.contig_1030	4622	0	0	0	CELEG	1.00
CELEG.contig_1031	3479	0	0	0	CELEG	1.00
CELEG.contig_1032	38752	0	0	0	CELEG	1.00
CELEG.contig_1033	17206	0	0	0	CELEG	1.00
CELEG.contig_1034	21033	0	0	0	CELEG	1.00
CELEG.contig_1035	7939	0	0	0	CELEG	1.00
CELEG.contig_1036	302	0	0	0	CELEG	1.00
CELEG.contig_1037	29911	0	0	0	CELEG	1.00
CELEG.contig_1038	17584	0	0	0	CELEG	1.00
CELEG.contig_1039	5069	0	0	0	CELEG	1.00
CELEG.contig_104	24707	0	0	0	CELEG	1.00
CELEG.contig_1040	4064	0	0	0	CELEG	1.00
CELEG.contig_1041	1892	0	0	0	CELEG	1.00
CELEG.contig_1042	20053	0	0	0	CELEG	1.00
CELEG.contig_1043	21767	0	0	0	CELEG	1.00
