#contig_id	CELEG	ECOLI	HSAPI	PAERU	taxonomy	fraction_reads
Unmapped	6898	2704	25822	1030	N/A	N/A
CELEG.contig_1	4177	0	0	0	CELEG	1.00
CELEG.contig_10	20225	0	0	0	CELEG	1.00
CELEG.contig_100	31083	0	0	0	CELEG	1.00
CELEG.contig_1000	2447	0	0	0	CELEG	1.00
CELEG.contig_1001	3114	0	0	0	CELEG	1.00
CELEG.contig_1002	8390	0	0	0	CELEG	1.00
CELEG.contig_1003	13392	0	0	0	CELEG	1.00
CELEG.contig_1004	8220	0	0	0	CELEG	1.00
CELEG.contig_1005	2202	0	0	0	CELEG	1.00
CELEG.contig_1006	11569	0	0	0	CELEG	1.00
CELEG.contig_1007	3235	0	0	0	CELEG	1.00
CELEG.contig_1008	10201	0	0	0	CELEG	1.00
CELEG.contig_1009	178	0	0	0	CELEG	1.00
CELEG.contig_101	34714	0	0	0	CELEG	1.00
CELEG.contig_1010	19315	0	0	0	CELEG	1.00
CELEG.contig_1011	51224	0	0	0	CELEG	1.00
CELEG.contig_1012	34783	0	0	0	CELEG	1.00
CELEG.contig_1013	45594	0	0	0	CELEG	1.00
CELEG.contig_1014	9231	0	0	0	CELEG	1.00
CELEG.contig_1015	10040	0	0	0	CELEG	1.00
CELEG.contig_1016	22863	0	0	0	CELEG	1.00
CELEG.contig_1017	7850	0	0	0	CELEG	1.00
CELEG.contig_1018	41493	0	0	0	CELEG	1.00
CELEG.contig_1019	53281	0	0	0	CELEG	1.00
CELEG.contig_102	36301	0	0	0	CELEG	1.00
CELEG.contig_1020	15225	0	0	0	CELEG	1.00
CELEG.contig_1021	39636	0	0	0	CELEG	1.00
CELEG.contig_1022	8875	0	0	0	CELEG	1.00
CELEG.contig_1023	11703	0	0	0	CELEG	1.00
CELEG.contig_1024	3236	0	0	0	CELEG	1.00
CELEG.contig_1025	8672	0	0	0	CELEG	1.00
CELEG.contig_1026	24503	0	0	0	CELEG	1.00
CELEG.contig_1027	11557	0	0	0	CELEG	1.00
CELEG.contig_1028	7898	0	0	0	CELEG	1.00
CELEG.contig_1029	5427	0	0	0	CELEG	1.00
CELEG.contig_103	4325	0	0	0	CELEG	1.00
CELEG.contig_1030	18311	0	0	0	CELEG	1.00
CELEG.contig_1031	22713	0	7	0	CELEG	1.00
CELEG.contig_1032	11249	0	0	0	CELEG	1.00
CELEG.contig_1033	1572	0	0	0	CELEG	1.00
CELEG.contig_1034	7513	0	0	0	CELEG	1.00
CELEG.contig_1035	3859	0	0	0	CELEG	1.00
CELEG.contig_1036	54	0	0	0	CELEG	1.00
CELEG.contig_1037	74192	0	0	0	CELEG	1.00
CELEG.contig_1038	24980	0	0	0	CELEG	1.00
CELEG.contig_1039	986	0	0	0	CELEG	1.00
CELEG.contig_104	44663	0	0	0	CELEG	1.00
