#contig_id	CELEG	ECOLI	HSAPI	PAERU	taxonomy	fraction_reads
Unmapped	15884	0	1378	0	N/A	N/A
contig_1	10580	0	0	0	CELEG	1.00
contig_10	0	0	170	0	HSAPI	1.00
contig_100	5915	0	0	0	CELEG	1.00
contig_1000	8500	0	0	0	CELEG	1.00
contig_10000	980	0	0	0	CELEG	1.00
contig_10002	0	0	172	0	HSAPI	1.00
contig_10003	0	0	115	0	HSAPI	1.00
contig_10004	0	0	558	0	HSAPI	1.00
contig_10005	0	0	147	0	HSAPI	1.00
contig_10006	0	0	25	0	HSAPI	1.00
contig_10007	0	0	130	0	HSAPI	1.00
contig_10008	0	0	59	0	HSAPI	1.00
contig_10009	0	0	214	0	HSAPI	1.00
contig_1001	5216	0	0	0	CELEG	1.00
contig_10010	0	0	190	0	HSAPI	1.00
contig_10011	0	0	1035	0	HSAPI	1.00
contig_10012	0	0	394	0	HSAPI	1.00
contig_10013	0	0	203	0	HSAPI	1.00
contig_10014	0	0	349	0	HSAPI	1.00
contig_10015	0	0	185	0	HSAPI	1.00
contig_10016	0	0	131	0	HSAPI	1.00
contig_10017	0	0	124	0	HSAPI	1.00
contig_10018	0	0	50	0	HSAPI	1.00
contig_10019	0	0	86	0	HSAPI	1.00
contig_1002	1407	0	0	0	CELEG	1.00
contig_10020	0	0	128	0	HSAPI	1.00
contig_10021	379	0	0	0	CELEG	1.00
contig_10022	0	0	20	0	HSAPI	1.00
contig_10023	0	0	144	0	HSAPI	1.00
contig_10024	0	0	160	0	HSAPI	1.00
contig_10025	0	0	201	0	HSAPI	1.00
contig_10026	0	0	506	0	HSAPI	1.00
contig_10027	2038	0	0	0	CELEG	1.00
contig_10028	0	0	342	0	HSAPI	1.00
contig_10029	0	0	490	0	HSAPI	1.00
contig_1003	8852	0	0	0	CELEG	1.00
contig_10030	620	0	0	0	CELEG	1.00
contig_10031	214	0	0	0	CELEG	1.00
contig_10032	447	0	0	0	CELEG	1.00
contig_10033	0	0	93	0	HSAPI	1.00
contig_10034	512	0	0	0	CELEG	1.00
contig_10035	0	0	231	0	HSAPI	1.00
contig_10036	0	0	82	0	HSAPI	1.00
contig_10037	0	0	219	0	HSAPI	1.00
contig_10038	304	0	0	0	CELEG	1.00
