taxon_present	BLASTn	BLAST_MTS1	BLAST_MTS10	BLAST_MAXHSP1	BLAST_CUL10	Diamond_blastx	DIAMOND_MTS1	DIAMOND_MAXHSP1	DIAMOND_MTS10	Rhabditida TP	Rhabditida FP	Rhabditida TN	Rhabditida FN	Primates TP	Primates FP	Primates TN	Primates FN	Pseudomonadales TP	Pseudomonadales FP	Pseudomonadales TN	Pseudomonadales FN	Enterobacterales TP	Enterobacterales FP	Enterobacterales TN	Enterobacterales FN
1	1	1	0	0	0	0	0	0	0	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	1	0	1	0	0	0	0	0	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	0	1	0	0	0	0	0	0	95924251	0	62071520	5852	51285648	0	106705078	10897	6220288	0	151781335	0	4554687	3318	153443618	0
1	1	0	1	1	0	0	0	0	0	95924251	0	62071520	5852	51290209	0	106705078	6336	6220288	0	151781335	0	4554346	3318	153443618	341
1	1	0	0	0	1	0	0	0	0	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	0	1	1	0	0	0	0	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	0	0	0	0	0	1	1	0	0	93616654	4329	62067191	2313449	33123159	1271	106703807	18173386	6213794	0	151781335	6494	3438488	0	153446936	1116199
1	0	0	0	0	0	1	0	0	1	93661706	0	62071520	2268397	35017868	0	106705078	16278677	6060552	0	151781335	159736	4376951	0	153446936	177736
1	0	0	0	0	0	1	0	1	1	93661706	0	62071520	2268397	35017868	0	106705078	16278677	6060552	0	151781335	159736	4376951	0	153446936	177736
1	1	0	0	0	1	1	0	1	1	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	0	0	1	1	0	0	1	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	0	0	1	1	1	1	0	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	0	1	1	1	0	1	1	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	0	1	1	1	0	0	1	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	0	1	1	1	1	1	0	95925580	0	62071520	4523	51292483	0	106705078	4062	6220288	0	151781335	0	4554346	1989	153444947	341
1	1	0	1	0	0	1	0	1	1	95924251	0	62071520	5852	51285648	0	106705078	10897	6220288	0	151781335	0	4554687	3318	153443618	0
1	1	0	1	0	0	1	0	0	1	95924251	0	62071520	5852	51285648	0	106705078	10897	6220288	0	151781335	0	4554687	3318	153443618	0
1	1	0	1	0	0	1	1	1	0	95924251	0	62071520	5852	51285648	0	106705078	10897	6220288	0	151781335	0	4554687	3318	153443618	0
1	1	0	1	1	0	1	0	1	1	95924251	0	62071520	5852	51290209	0	106705078	6336	6220288	0	151781335	0	4554346	3318	153443618	341
1	1	0	1	1	0	1	0	0	1	95924251	0	62071520	5852	51290209	0	106705078	6336	6220288	0	151781335	0	4554346	3318	153443618	341
1	1	0	1	1	0	1	1	1	0	95924251	0	62071520	5852	51290209	0	106705078	6336	6220288	0	151781335	0	4554346	3318	153443618	341
1	1	1	0	0	0	1	0	1	1	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	1	0	0	0	1	0	0	1	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	1	0	0	0	1	1	1	0	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	1	0	1	0	1	0	1	1	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	1	0	1	0	1	0	0	1	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
1	1	1	0	1	0	1	1	1	0	95926240	0	62071520	3863	51285103	0	106705078	11442	6220288	0	151781335	0	4553168	1329	153445607	1519
0	1	1	0	0	0	0	0	0	0	75304540	3711	62067809	20625563	48321783	0	106705078	2974762	5603095	0	151781335	617193	4518646	1329	153445607	36041
0	1	1	0	1	0	0	0	0	0	75304540	3711	62067809	20625563	48321783	0	106705078	2974762	5603095	0	151781335	617193	4518646	1329	153445607	36041
0	1	0	1	0	0	0	0	0	0	75063287	0	62071520	20866816	49519314	22009	106683069	1777231	6110622	0	151781335	109666	4548306	1989	153444947	6381
0	1	0	1	1	0	0	0	0	0	74867037	0	62071520	21063066	49525500	22009	106683069	1771045	5512916	0	151781335	707372	4545697	1989	153444947	8990
0	1	0	0	0	1	0	0	0	0	75295722	0	62071520	20634381	50719081	22009	106683069	577464	2295410	0	151781335	3924878	4552155	1989	153444947	2532
0	1	0	0	1	1	0	0	0	0	75000853	0	62071520	20929250	50731489	22009	106683069	565056	25118	0	151781335	6195170	4545607	1989	153444947	9080
0	0	0	0	0	0	1	1	0	0	90332822	44425	62027095	5597281	29231685	1271	106703807	22064860	3619569	0	151781335	2600719	3051694	685042	152761894	1502993
0	0	0	0	0	0	1	0	0	1	90498644	0	62071520	5431459	30216595	0	106705078	21079950	1884230	0	151781335	4336058	4357891	685042	152761894	196796
0	0	0	0	0	0	1	0	1	1	90498644	0	62071520	5431459	30216595	0	106705078	21079950	1884230	0	151781335	4336058	4357891	685042	152761894	196796
0	1	0	0	0	1	1	0	1	1	90205046	0	62071520	5725057	50719081	22009	106683069	577464	2306708	0	151781335	3913580	4552155	1989	153444947	2532
0	1	0	0	0	1	1	0	0	1	90205046	0	62071520	5725057	50719081	22009	106683069	577464	2306708	0	151781335	3913580	4552155	1989	153444947	2532
0	1	0	0	0	1	1	1	0	0	90158151	0	62071520	5771952	50719081	22009	106683069	577464	2316464	0	151781335	3903824	4552155	1989	153444947	2532
0	1	0	0	1	1	1	0	1	1	89910177	0	62071520	6019926	50731489	22009	106683069	565056	36416	0	151781335	6183872	4545607	1989	153444947	9080
0	1	0	0	1	1	1	0	0	1	89910177	0	62071520	6019926	50731489	22009	106683069	565056	36416	0	151781335	6183872	4545607	1989	153444947	9080
0	1	0	0	1	1	1	1	0	0	89863282	0	62071520	6066821	50731489	22009	106683069	565056	46172	0	151781335	6174116	4545607	1989	153444947	9080
0	1	0	1	0	0	1	0	1	1	89972611	0	62071520	5957492	49519314	22009	106683069	1777231	5882072	0	151781335	338216	4548306	1989	153444947	6381
0	1	0	1	0	0	1	0	0	1	89972611	0	62071520	5957492	49519314	22009	106683069	1777231	5882072	0	151781335	338216	4548306	1989	153444947	6381
0	1	0	1	0	0	1	1	0	0	89925716	0	62071520	6004387	49519314	22009	106683069	1777231	6131676	0	151781335	88612	4548306	1989	153444947	6381
0	1	0	1	1	0	1	0	1	1	89776361	0	62071520	6153742	49525500	22009	106683069	1771045	5284366	0	151781335	935922	4545697	1989	153444947	8990
0	1	0	1	1	0	1	0	0	1	89776361	0	62071520	6153742	49525500	22009	106683069	1771045	5284366	0	151781335	935922	4545697	1989	153444947	8990
0	1	0	1	1	0	1	1	0	0	89729466	0	62071520	6200637	49525500	22009	106683069	1771045	5533970	0	151781335	686318	4545697	1989	153444947	8990
0	1	1	0	0	0	1	0	1	1	90213864	3711	62067809	5716239	48321783	0	106705078	2974762	5374545	0	151781335	845743	4518646	1329	153445607	36041
0	1	1	0	0	0	1	0	0	1	90213864	3711	62067809	5716239	48321783	0	106705078	2974762	5374545	0	151781335	845743	4518646	1329	153445607	36041
0	1	1	0	0	0	1	1	0	0	90166969	3711	62067809	5763134	48321783	0	106705078	2974762	5624149	0	151781335	596139	4518646	1329	153445607	36041
0	1	1	0	1	0	1	0	1	1	90213864	3711	62067809	5716239	48321783	0	106705078	2974762	5374545	0	151781335	845743	4518646	1329	153445607	36041
0	1	1	0	1	0	1	0	0	1	90213864	3711	62067809	5716239	48321783	0	106705078	2974762	5374545	0	151781335	845743	4518646	1329	153445607	36041
0	1	1	0	1	0	1	1	0	0	90166969	3711	62067809	5763134	48321783	0	106705078	2974762	5624149	0	151781335	596139	4518646	1329	153445607	36041
